timestamp,object_id,label,role,bbox_x,bbox_y,bbox_w,bbox_h,zone,visible,crop_path
0,router_1,router,target,475,245,250,285,router_work_area,true,object_crops/router_1/router_0000.jpg
1,router_1,router,target,475,245,250,285,router_work_area,true,object_crops/router_1/router_0001.jpg
2,router_1,router,target,475,245,250,285,router_work_area,true,object_crops/router_1/router_0002.jpg
3,router_1,router,target,475,245,250,285,router_work_area,true,object_crops/router_1/router_0003.jpg
4,router_1,router,target,475,245,250,285,router_work_area,true,object_crops/router_1/router_0004.jpg
5,router_1,router,target,475,245,250,285,router_work_area,true,object_crops/router_1/router_0005.jpg
6,router_1,router,target,475,245,250,285,router_work_area,true,object_crops/router_1/router_0006.jpg
7,router_1,router,target,475,245,250,285,router_work_area,true,object_crops/router_1/router_0007.jpg
8,router_1,router,target,475,245,250,285,router_work_area,true,object_crops/router_1/router_0008.jpg
9,router_1,router,target,475,245,250,285,router_work_area,true,object_crops/router_1/router_0009.jpg
10,router_1,router,target,475,245,250,285,router_work_area,true,object_crops/router_1/router_0010.jpg
11,router_1,router,target,475,245,250,285,router_work_area,true,object_crops/router_1/router_0011.jpg
12,router_1,router,target,475,245,250,285,router_work_area,true,object_crops/router_1/router_0012.jpg
13,router_1,router,target,475,245,250,285,router_work_area,true,object_crops/router_1/router_0013.jpg
14,router_1,router,target,475,245,250,285,router_work_area,true,object_crops/router_1/router_0014.jpg
15,router_1,router,target,475,245,250,285,router_work_area,true,object_crops/router_1/router_0015.jpg
16,router_1,router,target,475,245,250,285,router_work_area,true,object_crops/router_1/router_0016.jpg
17,router_1,router,target,475,245,250,285,router_work_area,true,object_crops/router_1/router_0017.jpg
18,router_1,router,target,475,245,250,285,router_work_area,true,object_crops/router_1/router_0018.jpg
19,router_1,router,target,475,245,250,285,router_work_area,true,object_crops/router_1/router_0019.jpg
20,router_1,router,target,475,245,250,285,router_work_area,true,object_crops/router_1/router_0020.jpg
21,router_1,router,target,475,245,250,285,router_work_area,true,object_crops/router_1/router_0021.jpg
22,router_1,router,target,475,245,250,285,router_work_area,true,object_crops/router_1/router_0022.jpg
23,router_1,router,target,475,245,250,285,router_work_area,true,object_crops/router_1/router_0023.jpg
24,router_1,router,target,475,245,250,285,router_work_area,true,object_crops/router_1/router_0024.jpg
25,router_1,router,target,475,245,250,285,router_work_area,true,object_crops/router_1/router_0025.jpg
26,router_1,router,target,475,245,250,285,router_work_area,true,object_crops/router_1/router_0026.jpg
